user_id,embedding
2656,"[0.6287825703620911, 0.6710277795791626, 0.6593486070632935, 0.4823721647262573, 0.7638393640518188, -0.4615868330001831, -0.48952391743659973, 0.5453753471374512, -0.37697315216064453, 0.011014550924301147, -0.5639799237251282, 0.3278138041496277, -0.8969377279281616, 0.6884730458259583, -0.4399653673171997, -0.3265412747859955, 0.20615442097187042, -0.09830036759376526, 0.7260612845420837, 0.2455315887928009, 0.3227696716785431, 0.23945441842079163, 0.7346133589744568, -0.30742573738098145, 0.19114862382411957, 0.31580451130867004, -0.0558682419359684, -0.10042282193899155, -0.23127716779708862, -0.2969273328781128, 0.2148604393005371, -0.00014673825353384018, -0.7055306434631348, -0.5777173042297363, -0.31036174297332764, -0.8140379786491394, -0.5456710457801819, -0.6451375484466553, -0.4597552716732025, 0.4936206638813019, -0.22025436162948608, -0.5383702516555786, 0.02695007622241974, -0.017677336931228638, 0.23562763631343842, 0.3066011667251587, 0.10365988314151764, -0.5973930358886719, 0.5939381718635559, 0.4744822382926941, 0.6060796976089478, -0.44441160559654236, -0.2083023488521576, 0.6896842122077942, 0.03564261272549629, 0.3170396089553833, -0.5109923481941223, -0.4031313359737396, -0.5141157507896423, 0.07568494975566864, -0.07848981767892838, 0.9183099269866943, 0.4245874285697937, -0.657874584197998]"
2657,"[0.5498663783073425, 0.7729536294937134, 0.4333864748477936, 0.24771440029144287, 0.5246644616127014, 0.00789053738117218, -0.5253254175186157, 0.062255214899778366, -0.4527353346347809, 0.4582974910736084, -0.6519168019294739, -0.17472700774669647, -0.5081160664558411, 0.4922688603401184, 0.14654701948165894, 0.16046500205993652, 0.08346166461706161, -0.23879200220108032, 0.3335142135620117, -0.21102336049079895, 0.3572627902030945, -0.07435880601406097, 0.7158713936805725, 0.13374531269073486, 0.5991960763931274, 0.10780271142721176, -0.3216077387332916, -0.3222068250179291, 0.10464426130056381, -0.4717673063278198, 0.12793995440006256, -0.40087243914604187, -0.5381690263748169, -0.18017788231372833, 0.013399317860603333, -0.421095073223114, -0.7613152861595154, -0.5324909687042236, -0.10690087080001831, 0.46755915880203247, -0.03980147838592529, -0.5249342918395996, 0.3020978569984436, -0.11867910623550415, -0.1487119197845459, -0.20373687148094177, 0.0900953859090805, -0.4136470854282379, 0.3860003352165222, 0.5382276773452759, 0.34565460681915283, -0.061697110533714294, 0.34002071619033813, 0.704157829284668, -0.1140780970454216, -0.1024576872587204, 0.05452651530504227, -0.01792507991194725, -0.328299880027771, -0.23132149875164032, 0.3268470764160156, 0.6527078747749329, -0.1091756671667099, -0.7339370846748352]"
2658,"[-0.11456377059221268, 0.576366662979126, 0.008583992719650269, 0.7416529655456543, 0.5120230913162231, -0.8555268049240112, -0.18124693632125854, 0.5911037921905518, 0.40052330493927, 0.7151651978492737, -0.46200940012931824, 0.5446586608886719, -0.5386218428611755, 0.5602949857711792, -0.7598801851272583, -0.641481339931488, -0.32170891761779785, 0.8193457126617432, 0.4210556149482727, 0.5583924651145935, 0.0123511403799057, 0.5410106182098389, -0.5078254342079163, -0.8048849105834961, -0.3506348729133606, -0.24596554040908813, 0.7519431114196777, 0.557578444480896, -0.8189938068389893, 0.5703303217887878, -0.8839077949523926, 0.24237504601478577, 0.15783554315567017, 0.1342729926109314, 0.47887492179870605, -0.3015959560871124, -0.42421072721481323, -0.38755494356155396, -0.5983243584632874, -0.7183382511138916, -0.08557820320129395, 0.8802169561386108, 0.8663207292556763, -0.032730355858802795, 0.3442959785461426, 0.7678996324539185, -0.8193297386169434, 0.7747663855552673, -0.01992180198431015, 0.2110976129770279, 0.5978732109069824, -0.6148725152015686, -0.7335566282272339, 0.34326452016830444, -0.38111692667007446, 0.8883176445960999, 0.9070429801940918, 0.5906872749328613, 0.5977977514266968, 0.599643349647522, -0.28921717405319214, -0.3036940395832062, 0.6489817500114441, 0.4656597375869751]"
2659,"[0.31071457266807556, 0.42318981885910034, 0.43726810812950134, 0.1363019496202469, 0.45825037360191345, -0.5316134691238403, -0.2864249050617218, 0.31739145517349243, -0.4910920560359955, 0.3370056450366974, -0.2855411469936371, 0.2717876136302948, 0.5136435031890869, 0.37473970651626587, -0.19593286514282227, -0.3767068386077881, -0.2958659529685974, 0.40273064374923706, 0.2021418809890747, 0.5093838572502136, -0.20399752259254456, -0.27088862657546997, -0.4727766513824463, -0.01073872298002243, 0.32546666264533997, -0.30704373121261597, 0.11307024210691452, 0.40010350942611694, -0.41535839438438416, 0.21337154507637024, -0.45106667280197144, 0.0738861933350563, 0.10540804266929626, -0.3969559073448181, -0.37626463174819946, 0.36025190353393555, 0.14247189462184906, 0.260010302066803, -0.03372838720679283, -0.46701279282569885, 0.3314351737499237, -0.03804083913564682, 0.41953301429748535, 0.6442948579788208, -0.11395031958818436, 0.4658215343952179, -0.004845622926950455, 0.45102208852767944, -0.057659558951854706, 0.24055632948875427, 0.037571415305137634, -0.05318738520145416, 0.051175061613321304, 0.2787611782550812, 0.6037108898162842, 0.284062922000885, -0.10881679505109787, 0.34078454971313477, 0.29126954078674316, -0.05809909477829933, 0.49410659074783325, 0.19082142412662506, 0.1251523792743683, -0.49563178420066833]"
2660,"[0.7450722455978394, 0.4221085011959076, -0.10841970890760422, 0.3780382573604584, 0.18543994426727295, 0.014716371893882751, -0.059742480516433716, 0.6688194274902344, -0.5146631002426147, 0.4600643217563629, 0.003218904137611389, 0.21087463200092316, -0.4471599757671356, 0.027684584259986877, -0.180160790681839, -0.26475340127944946, -0.5429232716560364, 0.322761595249176, 0.28535187244415283, 0.6152743101119995, -0.5584049224853516, 0.08221734315156937, 0.44229596853256226, -0.15913736820220947, 0.1540723443031311, -0.07829446345567703, 0.600141704082489, 0.7394912838935852, -0.3039591908454895, 0.20646804571151733, -0.048399992287158966, 0.4287826418876648, -0.10467962920665741, -0.59549480676651, 0.01129140704870224, 0.17523646354675293, 0.5473918318748474, -0.3021679222583771, 0.23921747505664825, 0.181657075881958, -0.20830078423023224, 0.16439297795295715, -0.09884019196033478, 0.5129206776618958, 0.4652974605560303, -0.3535785377025604, -0.19000640511512756, -0.5703040957450867, 0.03839132562279701, 0.22320671379566193, 0.43079277873039246, -0.09287106245756149, -0.5531316995620728, 0.5192689299583435, -0.5393152832984924, 0.28361839056015015, -0.5196436047554016, 0.13962849974632263, -0.19230340421199799, 0.4636434316635132, 0.37723660469055176, 0.5589016079902649, 0.1528187394142151, 0.2573847770690918]"
2661,"[0.3484814763069153, -0.20812371373176575, 0.35060450434684753, 0.8535513281822205, 0.6260076761245728, -0.6016300916671753, 0.24427002668380737, 0.9120246171951294, -0.35547804832458496, 0.19124624133110046, -0.6781789660453796, 0.8157167434692383, 0.456243097782135, 0.47505611181259155, 0.6133195161819458, -0.7939878702163696, -0.4319995939731598, 0.9355870485305786, 0.39895519614219666, 0.1529845893383026, -0.27142030000686646, 0.7568855285644531, -0.6790140271186829, -0.4815116226673126, 0.4579775333404541, -0.5269249677658081, 0.5087794065475464, 0.9165053963661194, -0.8784545660018921, 0.9287782311439514, -0.7155218124389648, -0.014110155403614044, -0.2560460567474365, -0.2130611538887024, -0.12538450956344604, -0.3245707154273987, 0.7381270527839661, 0.5638355612754822, -0.4607338309288025, -0.7007150650024414, -0.20012420415878296, 0.9100701212882996, 0.18083299696445465, -0.34784501791000366, 0.6109977960586548, 0.6170617341995239, 0.1424955427646637, 0.2578057050704956, 0.3888660669326782, 0.47553694248199463, 0.11954399198293686, -0.37774062156677246, -0.7529998421669006, 0.6663695573806763, -0.6226385235786438, 0.6771701574325562, 0.5856245756149292, 0.6722354888916016, -0.4477066397666931, 0.6188603639602661, -0.45632439851760864, -0.618476927280426, 0.2476004958152771, 0.012545183300971985]"
2662,"[0.4843812584877014, 0.2810206413269043, 0.3849714994430542, -0.36952248215675354, 0.4966585040092468, -0.4893547296524048, -0.27036160230636597, 0.2386261522769928, -0.381565123796463, 0.1867549866437912, -0.41719141602516174, 0.07013492286205292, -0.3034067749977112, 0.14632219076156616, 0.07215884327888489, -0.07091236114501953, 0.35107263922691345, -0.23660382628440857, -0.004136636853218079, 0.21398837864398956, 0.38326603174209595, -0.385334849357605, 0.5587418079376221, -0.01794203370809555, 0.15716855227947235, 0.349505215883255, -0.06615130603313446, 0.3703625202178955, -0.2503947615623474, -0.45359471440315247, 0.4181745946407318, -0.27325692772865295, -0.07442744076251984, 0.006618618965148926, -0.3022075295448303, -0.5643132328987122, -0.2541135549545288, 0.26224324107170105, -0.3928556442260742, 0.25345152616500854, -0.4737316370010376, -0.21437714993953705, -0.10679060220718384, 0.32844823598861694, -0.14463728666305542, 0.1377580761909485, 0.09111885726451874, -0.28939107060432434, 0.38499075174331665, 0.5989792943000793, 0.12319585680961609, 0.13353121280670166, -0.1276240050792694, 0.20402494072914124, 0.1532876193523407, 0.13096535205841064, 0.2862478196620941, -0.025848478078842163, 0.25108152627944946, -0.11738928407430649, 0.5076640248298645, 0.6643169522285461, -0.05153413116931915, -0.6193583607673645]"
2663,"[0.529026985168457, -0.3109903037548065, 0.06727064400911331, 0.5524366497993469, -0.1830393671989441, -0.10319647192955017, -0.13551068305969238, 0.07244420051574707, -0.04388752579689026, 0.6231436729431152, 0.00741972029209137, 0.3747447729110718, 0.17468254268169403, -0.03911043703556061, 0.013581249862909317, -0.22249861061573029, 0.031196724623441696, 0.5936002731323242, 0.3923723101615906, -0.25249072909355164, -0.5035657286643982, 0.25262296199798584, -0.27136197686195374, -0.04591327905654907, 0.5257558226585388, -0.7570078372955322, 0.5715204477310181, 0.3941347301006317, -0.2751694619655609, 0.5480434894561768, -0.1652577668428421, -0.6049122214317322, 0.2548394799232483, -0.15081384778022766, -0.2576628625392914, 0.37464654445648193, -0.5364002585411072, 0.33317700028419495, -0.6518737077713013, -0.3525017499923706, 0.3153212368488312, 0.06766892969608307, -0.09666022658348083, 0.6076122522354126, 0.03661263361573219, 0.5806854367256165, 0.13997724652290344, 0.18291810154914856, -0.33158206939697266, 0.3149194121360779, -0.024333201348781586, -0.22389212250709534, 0.046375684440135956, 0.17111805081367493, -0.12332916259765625, 0.32817816734313965, -0.04604040086269379, 0.11869028955698013, 0.4878317713737488, 0.26165771484375, -0.5229024291038513, -0.2225753366947174, 0.5128864049911499, -0.48565104603767395]"
2664,"[0.5153393745422363, 0.4402683973312378, 0.8420009613037109, 0.24014583230018616, -0.6245652437210083, -0.4478664696216583, -0.6604502201080322, 0.6886048316955566, -0.9129784107208252, 0.3356662392616272, -0.8723507523536682, 0.4208410978317261, 0.4091813266277313, 0.706680953502655, -0.5289779901504517, -0.515383243560791, -0.4125756025314331, 0.22194147109985352, 0.20389342308044434, 0.2507328987121582, -0.48427796363830566, 0.5920224785804749, -0.2370273321866989, -0.44063547253608704, 0.39216169714927673, -0.8201020956039429, -0.12529383599758148, 0.9136853218078613, -0.5956611633300781, -0.09775781631469727, -0.4120539128780365, 0.7356484532356262, -0.7876862287521362, -0.13890764117240906, -0.21921846270561218, -0.44229331612586975, 0.4997270107269287, 0.47362780570983887, -0.5319436192512512, -0.21762531995773315, -0.23030056059360504, -0.2117127627134323, -0.17707228660583496, 0.0029432252049446106, 0.673226535320282, 0.12044811248779297, -0.8766626119613647, -0.5634021162986755, 0.8588323593139648, 0.8129004240036011, 0.6687575578689575, 0.14443352818489075, -0.6986165046691895, 0.5882030725479126, 0.46725040674209595, 0.7525922656059265, -0.485911101102829, 0.0944354310631752, -0.47232145071029663, -0.11843836307525635, -0.3819767236709595, 0.9031201004981995, 0.45728039741516113, -0.48959770798683167]"
2665,"[0.05767172574996948, -0.5675991773605347, -0.14131982624530792, 0.4085146486759186, 0.6147788763046265, -0.5495873689651489, 0.2951139211654663, 0.14466345310211182, 0.27147743105888367, -0.31526878476142883, -0.35304129123687744, 0.07208337634801865, -0.828197181224823, 0.3806189000606537, -0.24338051676750183, -0.08535056561231613, 0.2918938398361206, 0.4329093098640442, 0.10228479653596878, -0.3411395251750946, -0.27826809883117676, 0.10136933624744415, 0.052318669855594635, -0.4721692204475403, 0.09710310399532318, -0.5726462602615356, -0.5293922424316406, 0.08373739570379257, 0.035627223551273346, 0.35620442032814026, -0.22663386166095734, -0.2513037621974945, -0.059095583856105804, -0.23950104415416718, 0.2414095252752304, -0.6333045959472656, -0.2159646600484848, -0.4110722541809082, -0.7713972926139832, 0.5291151404380798, 0.5343656539916992, 0.24283012747764587, -0.3988684117794037, -0.43685001134872437, 0.12729255855083466, 0.6948022842407227, 0.019013218581676483, -0.14231739938259125, -0.1473485678434372, 0.541289746761322, 0.5223802924156189, -0.6233133673667908, -0.5076627731323242, -0.08017580211162567, -0.6149221062660217, 0.35366180539131165, 0.5959417819976807, 0.5050556659698486, -0.5676646828651428, -0.5262449979782104, -0.3811386823654175, -0.4601559042930603, -0.1603817641735077, -0.35187360644340515]"
